datetime,tempmax,tempmin,temp,dew,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon
01-01-2020,76.9,64.4,71.1,66.1,85.5,0.02,19.5,8.1,106.6,1018,48.8,3.4,179.7,15.6,7,,2020-01-01T06:41:39,2020-01-01T18:04:10,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
02-01-2020,82.3,66.2,72.6,66.6,83,0.028,16.8,8.1,121.8,1018.9,51.6,3.2,170.1,14.7,6,,2020-01-02T06:42:02,2020-01-02T18:04:43,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
03-01-2020,87.6,66.2,75.2,65.8,75.6,0,14.3,6.9,132,1017.7,51.1,3.6,218,18.9,8,,2020-01-03T06:42:24,2020-01-03T18:05:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04-01-2020,85.9,66.3,75,64.3,73.3,0,13,9.2,172.9,1015.9,48.4,3.2,207.8,18.1,8,,2020-01-04T06:42:45,2020-01-04T18:05:51,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05-01-2020,85.9,68,75.6,65.4,74.4,0.004,15.7,11.3,122.7,1015.7,52.4,3.1,203.2,17.6,8,,2020-01-05T06:43:06,2020-01-05T18:06:25,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
06-01-2020,78.7,68.6,72.9,67.5,84.2,0.012,22.4,10.3,113,1017.9,57.5,3.5,143.4,12.4,5,,2020-01-06T06:43:26,2020-01-06T18:06:59,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07-01-2020,82.3,66.2,72.5,64.2,77.6,0,23,10.4,99.5,1017.7,46.2,3.8,167.9,14.6,7,,2020-01-07T06:43:45,2020-01-07T18:07:33,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08-01-2020,84.1,64.4,73.1,61.8,71.8,0,15.2,5.9,114.1,1016.8,38.2,3.6,246.9,21.4,9,,2020-01-08T06:44:03,2020-01-08T18:08:07,0.42,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
09-01-2020,85.8,64.4,73.3,61.1,69.7,0,16.3,8.1,101.9,1016.7,30,3.6,242.3,21.1,9,,2020-01-09T06:44:19,2020-01-09T18:08:41,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10-01-2020,84,60.8,71.6,58.7,68.4,0,21.7,9.4,115,1016.6,22,3.6,239.7,20.8,9,,2020-01-10T06:44:35,2020-01-10T18:09:15,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
